"","Case.14","Case.5","Case.4","Case.13","Case.11","Case.16","Case.3","Case.2","Case.12","Case.6","Case.1","Case.15","Case.10"
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7a-3p",140,0,15,0,0,9,48,0,10,0,52,0,16
"hsa-let-7a-5p",25006,1787,4106,1923,3209,2260,6158,1174,1886,5617,5951,2370,2424
"hsa-let-7b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7b-5p",4727,325,906,550,644,358,1288,244,386,930,1314,436,582
"hsa-let-7c-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7d-3p",119,0,43,0,16,11,33,7,0,35,67,16,28
"hsa-let-7d-5p",1555,116,288,76,106,88,337,37,76,365,330,75,108
"hsa-let-7e-3p",18,0,3,0,0,0,0,0,0,0,11,0,0
"hsa-let-7e-5p",2416,224,605,183,298,322,741,156,131,791,1021,263,307
"hsa-let-7f-1-3p",0,0,0,0,0,0,0,0,0,0,0,0,3
"hsa-let-7f-2-3p",0,0,0,0,0,0,8,0,0,5,0,0,0
"hsa-let-7f-5p",9397,1041,3269,1619,1816,1322,3968,807,1660,2587,3750,1666,1880
"hsa-let-7g-3p",31,0,0,0,0,0,0,0,0,0,15,0,0
"hsa-let-7g-5p",5130,441,1099,399,451,481,1255,261,423,1058,1326,502,557
"hsa-let-7i-3p",75,0,0,0,0,0,11,0,9,0,28,4,10
"hsa-let-7i-5p",2672,202,554,152,239,282,842,112,204,577,758,230,246
"hsa-miR-1-3p",328,20,24,13,18,12,34,15,18,26,64,17,0
"hsa-miR-1-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-100-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-100-5p",4733,359,2701,1035,775,500,1878,169,403,789,2117,632,996
"hsa-miR-101-2-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-101-3p",6728,572,653,181,243,505,1958,155,285,775,2401,356,527
"hsa-miR-101-5p",130,15,32,7,6,4,18,0,0,29,40,7,9
"hsa-miR-10226",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10392-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10392-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10393-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10393-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10394-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10394-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10395-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10395-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10396a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10396a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10397-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10397-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10398-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10398-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10399-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10399-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103a-1-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103a-3p",3700,1022,1756,400,999,867,1359,439,623,1701,1864,594,1413
"hsa-miR-103b",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10400-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10400-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10401-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10401-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-5p",12,0,4,0,0,0,0,0,0,0,5,0,0
"hsa-miR-10522-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10523-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10524-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10525-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10526-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10527-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-106a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-106a-5p",217,30,31,18,29,38,62,10,0,53,75,14,57
"hsa-miR-106b-3p",0,6,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-106b-5p",529,237,134,75,62,228,222,43,99,220,246,59,215
"hsa-miR-10a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10b-5p",0,0,0,0,0,0,0,0,2,0,0,0,0
"hsa-miR-11181-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-11181-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-11399",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-11400",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-11401",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1178-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1178-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1179-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1179-5p",13,0,0,0,0,0,0,0,0,0,5,0,0
"hsa-miR-1180-3p",183,23,62,7,25,18,46,11,13,42,74,21,31
"hsa-miR-1180-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1181-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1181-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1182",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1183",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1184",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1185-1-3p",15,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1185-5p",87,0,18,0,0,0,12,0,15,9,21,17,7
"hsa-miR-1193-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1193-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1197",38,0,4,0,0,0,0,0,6,0,6,0,0
"hsa-miR-1199-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1199-5p",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1200",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1202",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1203",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1204",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1205",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1206",0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1207-3p",0,0,0,0,0,0,0,0,0,0,0,0,0
